==117522== NVPROF is profiling process 117522, command: ./example pcap/packet256new.pcap 10
==117522== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==117522== Profiling application: ./example pcap/packet256new.pcap 10
==117522== Profiling result:
==117522== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"inst_per_warp","Instructions per warp",89.771701,89.771701,89.771701
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"issue_slot_utilization","Issue Slot Utilization",8.876614%,8.876614%,8.876614%
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",1.022727,1.022727,1.022727
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",1.263333,1.263333,1.263333
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.346154,1.346154,1.346154
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.979592,1.979592,1.979592
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",7.324655,7.324655,7.324655
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",23.026926,23.026926,23.026926
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"local_load_transactions","Local Load Transactions",900,900,900
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"local_store_transactions","Local Store Transactions",1137,1137,1137
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"shared_load_transactions","Shared Load Transactions",1050,1050,1050
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"shared_store_transactions","Shared Store Transactions",1940,1940,1940
"Tesla K80 (0)","void IpScan_KernelAnalysis<IpScan_ipScanAnalysis_t, IpScan_ipScanAnalysis_t>(packet_t*, IpScan_ipScanAnalysis_t*, IpScan_ipScanAnalysis_t*, analysisState_t, int*, char*, int*, int*, int*, int*, int*, int, int)",1,"gld_transactions","Global Load Transactions",27570,27570,27570
